time_sec,cos_sim_adjacent
931.931000,0.966395
932.932000,0.646336
933.933000,0.672266
934.934000,0.940970
935.935000,0.679605
936.936000,0.942909
937.937000,0.708318
938.938000,0.632897
939.939000,0.928787
940.940000,0.612152
941.941000,0.718604
942.942000,0.638422
943.943000,0.585296
944.944000,0.978230
945.945000,0.741192
946.946000,0.775390
947.947000,0.953208
948.948000,0.780923
949.949000,0.779952
950.950000,0.839310
951.951000,0.706988
952.952000,0.718245
953.953000,0.958004
954.954000,0.459976
955.955000,0.569170
956.956000,0.980767
957.957000,0.979465
958.958000,0.880829
959.959000,0.643586
960.960000,0.730472
961.961000,0.990792
962.962000,0.650820
963.963000,0.544989
964.964000,0.964610
965.965000,0.808023
966.966000,0.596665
967.967000,0.612547
968.968000,0.961951
969.969000,0.563645
970.970000,0.983226
971.971000,0.572923
972.972000,0.955608
973.973000,0.962767
974.974000,0.886694
975.975000,0.961281
976.976000,0.797189
977.977000,0.748755
978.978000,0.936555
979.979000,0.857947
980.980000,0.957471
981.981000,0.681202
982.982000,0.666841
983.983000,0.604773
984.984000,0.989237
985.985000,0.710971
986.986000,0.980631
987.987000,0.784967
988.988000,0.983505
989.989000,0.566953
990.990000,0.972064
991.991000,0.734625
992.992000,0.953154
993.993000,0.659617
994.994000,0.669604
995.995000,0.924024
996.996000,0.927930
997.997000,0.615696
998.998000,0.991331
999.999000,0.694936
1001.000000,0.801875
1002.001000,0.966340
1003.002000,0.636644
1004.003000,0.925618
1005.004000,0.666570
1006.005000,0.968964
1007.006000,0.989321
1008.007000,0.753726
1009.008000,0.976846
1010.009000,0.755714
1011.010000,0.983815
1012.011000,0.984925
1013.012000,0.626094
1014.013000,0.626392
1015.014000,0.728236
1016.015000,0.924972
1017.016000,0.634790
1018.017000,0.739004
1019.018000,0.676982
1020.019000,0.968722
1021.020000,0.968506
1022.021000,0.975153
1023.022000,0.828341
1024.023000,0.979548
1025.024000,0.628489
1026.025000,0.978578
1027.026000,0.711377
1028.027000,0.992015
1029.028000,0.622581
1030.029000,0.958633
1031.030000,0.910453
1032.031000,0.728798
1033.032000,0.968765
1034.033000,0.948202
1035.034000,0.973958
1036.035000,0.627184
1037.036000,0.610738
1038.037000,0.888815
1039.038000,0.896352
1040.039000,0.811402
1041.040000,0.648854
1042.041000,0.735399
1043.042000,0.898541
1044.043000,0.846857
1045.044000,0.863168
1046.045000,0.951431
1047.046000,0.730397
1048.047000,0.826018
1049.048000,0.603687
1050.049000,0.806908
1051.050000,0.620363
1052.051000,0.655094
1053.052000,0.929656
1054.053000,0.781224
1055.054000,0.549824
1056.055000,0.856679
1057.056000,0.688753
1058.057000,0.558007
1059.058000,0.864995
1060.059000,0.836830
1061.060000,0.924642
1062.061000,0.598577
1063.062000,0.637917
1064.063000,0.759269
1065.064000,0.938184
1066.065000,0.959481
1067.066000,0.868332
